"","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","stdP","stdVPD","fdsi"
"184","SS452120",1960,22.8066599903107,36.3049,8.1524,3.12705259814427,22.22865,-1.13445790317957,-0.813673743931677,-0.0435041807972694
"185","SS452120",1961,30.0685200896263,38.7067,9.9802,3.40347878027971,24.34345,-0.0701984347522162,0.433845084632744,-0.273840558685312
"186","SS452120",1962,34.7497393798828,35.035,6.906,3.54817207212319,20.9705,0.486880510059485,-1.55585542265228,1.08550646111145
"187","SS452120",1963,21.7754200351238,41.3975,10.5465,3.08078181234007,25.972,-1.31260355321632,1.39452542710418,-1.35847980259352
"188","SS452120",1964,25.2120404214859,38.1876,5.8514,3.22732167491334,22.0195,-0.748415186395012,-0.937051161651677,0.195445968511134
"189","SS452120",1965,32.095439912796,38.442,8.7475,3.46871396125326,23.59475,0.180961417362129,-0.00781244655043154,0.0839979937075783
"190","SS452120",1966,25.3644396705627,33.671,9.4554,3.23334818012071,21.5632,-0.725212734373558,-1.20622216669893,0.356390810227038
"191","SS452120",1967,34.5236794137955,39.3344,8.9133,3.54164544842029,24.12385,0.461752568056997,0.304303220270751,0.0327613265934583
"192","SS452120",1968,26.423619811058,39.7229,9.0296,3.27425829996871,24.37625,-0.567706010276785,0.453193778399017,-0.503579160425235
"193","SS452120",1969,40.2767794380188,31.9813,7.0338,3.69577511028489,19.50755,1.05516217469307,-2.41884845757205,1.8188264931053
"194","SS452120",1970,26.075639840126,39.833,10.2879,3.26100153903739,25.06045,-0.618745435098401,0.856802811169861,-0.752057565698418
"195","SS452120",1971,30.3250603294373,37.6601,9.7375,3.41197444425723,23.6988,-0.0374895547221184,0.0535665652294649,-0.0464926806062324
"196","SS452120",1972,28.0492200775146,37.2412,11.3515,3.33396082685896,24.29635,-0.337847250006178,0.406060832303738,-0.376046856092812
"197","SS452120",1973,39.7535395736694,33.8411,7.2693,3.68269888301447,20.5552,1.00481781665741,-1.8008405604917,1.45059055320461
"198","SS452120",1974,30.0405796318054,39.2095,9.2105,3.40254912204285,24.21,-0.0737776817444497,0.355123036367226,-0.231331080333204
